Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
NVDA,408.26,Put,405,2023-06-16,3,6.15,6.18,6.2,6.2,17210,1001,17.19,49.97%,-0.439401,"14:05 ET"
PLAY,46.38,Call,50,2023-07-21,38,1.45,1.53,1.6,1.55,2149,126,17.06,45.52%,0.359663,"14:02 ET"
NVDA,408.26,Call,445,2023-06-23,10,2.45,2.47,2.49,2.58,5069,312,16.25,48.93%,0.149838,"14:02 ET"
TSLA,259.44,Put,255,2023-06-23,10,7.65,7.7,7.75,7.75,7470,464,16.1,55.80%,-0.421653,"14:05 ET"
NFLX,435.87,Put,435,2023-06-16,3,6.95,7.08,7.2,7.2,2814,175,16.08,44.36%,-0.502626,"14:05 ET"
AI,43.73,Put,43,2023-06-16,3,2.5,2.55,2.6,2.6,2385,149,16.01,158.60%,-0.489817,"14:04 ET"
HPE,16.66,Put,17,2023-06-16,3,0.45,0.5,0.55,0.55,3401,222,15.32,53.85%,-0.668572,"12:39 ET"
TSLA,259.44,Call,262.5,2023-06-23,10,7.9,7.95,8,7.9,3855,258,14.94,56.46%,0.455813,"14:04 ET"
AVGO,850.11,Put,800,2023-09-15,94,30.9,31.1,31.3,31.1,2440,170,14.35,32.88%,-0.312169,"14:04 ET"
ORCL,117.68,Put,119,2023-06-16,3,2.22,2.27,2.32,2.3,2494,175,14.25,38.12%,-0.60901,"14:03 ET"
TSLA,259.44,Call,295,2023-06-30,17,3.3,3.33,3.35,3.35,10563,757,13.95,62.90%,0.185785,"14:05 ET"
TSLA,259.44,Put,252.5,2023-06-16,3,3.45,3.5,3.55,3.48,16907,1226,13.79,64.66%,-0.33617,"14:03 ET"
TECK,43.06,Put,40.5,2023-06-23,10,0.19,0.25,0.31,0.2,2525,185,13.65,36.77%,-0.144579,"10:33 ET"
CCJ,31.56,Call,33,2023-06-23,10,0.31,0.32,0.33,0.33,3753,275,13.65,39.96%,0.267815,"14:04 ET"
AI,43.73,Call,46,2023-06-16,3,1.05,1.13,1.2,1.13,3075,229,13.43,151.44%,0.318966,"14:04 ET"
BYND,14.36,Call,14.5,2023-06-23,10,1.25,1.3,1.34,1.28,1441,108,13.34,152.09%,0.514811,"14:04 ET"
TSLA,259.44,Put,252.5,2023-06-23,10,6.55,6.6,6.65,6.5,6101,465,13.12,55.44%,-0.379807,"14:04 ET"
MMM,102.61,Call,102,2023-06-30,17,2.75,2.8,2.85,2.83,2375,182,13.05,28.15%,0.554789,"13:56 ET"
TSLA,259.44,Call,257.5,2023-06-30,17,13.05,13.1,13.15,13.15,1466,113,12.97,56.09%,0.542106,"14:04 ET"
TSLA,259.44,Put,255,2023-07-07,24,13.05,13.13,13.2,13.1,1739,135,12.88,57.41%,-0.42903,"14:04 ET"
AI,43.73,Put,39.5,2023-06-16,3,0.85,0.93,1,1,2018,160,12.61,151.71%,-0.261773,"14:04 ET"
OKTA,75.18,Call,77,2023-06-16,3,0.8,0.81,0.82,0.79,3430,277,12.38,55.91%,0.331513,"14:04 ET"
OSTK,21.14,Call,21.5,2023-06-16,3,0.5,0.55,0.6,0.6,2481,203,12.22,100.73%,0.440279,"13:47 ET"
TSLA,259.44,Call,257.5,2023-06-23,10,10.1,10.13,10.15,10.15,7419,611,12.14,56.19%,0.537785,"14:04 ET"
NCLH,19.44,Call,20,2023-06-23,10,0.47,0.49,0.5,0.48,3431,290,11.83,55.92%,0.396571,"13:59 ET"
ULTA,440.84,Call,470,2023-06-23,10,0.75,0.83,0.9,0.8,1277,108,11.82,27.20%,0.088683,"13:49 ET"
ORCL,117.68,Put,118,2023-06-16,3,1.63,1.68,1.73,1.59,4787,406,11.79,37.06%,-0.513445,"14:04 ET"
TSLA,259.44,Call,257.5,2023-06-16,3,6.65,6.7,6.75,6.7,38889,3326,11.69,66.88%,0.535215,"14:05 ET"
GME,27.31,Call,39,2023-06-23,10,0.31,0.32,0.33,0.32,5201,450,11.56,162.24%,0.103799,"14:04 ET"
PBR,13.19,Call,13.5,2023-06-16,3,0.12,0.13,0.14,0.13,10472,932,11.24,49.79%,0.336571,"14:04 ET"
NFLX,435.87,Put,427.5,2023-06-16,3,3.6,3.68,3.75,3.7,1624,145,11.2,42.60%,-0.329018,"14:04 ET"
IRM,56.64,Call,52.5,2023-06-16,3,4,4.2,4.4,4.3,1701,154,11.05,60.95%,0.921422,"13:40 ET"
SNAP,10.32,Call,7,2023-07-21,38,3.3,3.35,3.4,3.45,8002,728,10.99,77.35%,0.953299,"12:14 ET"
KRNT,30.05,Call,25,2023-08-18,66,6,6.15,6.3,6.1,1503,137,10.97,58.08%,0.817077,"11:15 ET"
INTC,33.69,Put,33.5,2023-06-16,3,0.47,0.48,0.48,0.48,4206,384,10.95,45.94%,-0.445269,"14:05 ET"
OSTK,21.14,Call,22,2023-06-16,3,0.35,0.4,0.45,0.4,1641,151,10.87,97.64%,0.338117,"13:52 ET"
V,224.33,Put,227.5,2023-06-23,10,4.6,4.68,4.75,4.15,2133,197,10.83,17.03%,-0.710664,"13:40 ET"
SHEL,58.63,Call,59.5,2023-06-16,3,0.45,0.48,0.5,0.48,4110,382,10.76,39.78%,0.345752,"13:52 ET"
OPEN,2.94,Call,3.5,2023-07-28,45,0.26,0.28,0.3,0.28,2801,269,10.41,117.19%,0.406869,"14:04 ET"
TSLA,259.44,Put,260,2023-06-16,3,7,7.05,7.1,7.08,17143,1655,10.36,66.65%,-0.529083,"14:05 ET"
CHPT,9.75,Put,6,2024-01-19,220,0.51,0.54,0.58,0.55,5020,486,10.33,81.47%,-0.131605,"13:04 ET"
AI,43.73,Call,47,2023-06-16,3,0.9,0.93,0.95,0.95,2826,275,10.28,156.63%,0.273635,"14:04 ET"
RYAM,4.3,Put,4,2023-07-21,38,0.35,0.43,0.5,0.43,2212,216,10.24,107.24%,-0.351582,"12:31 ET"
IRM,56.64,Call,47.5,2023-07-21,38,8.9,9.35,9.8,9.3,1700,167,10.18,32.91%,0.954758,"13:40 ET"
CCL,15.26,Put,14,2023-07-07,24,0.55,0.56,0.56,0.55,2086,207,10.08,72.14%,-0.28394,"13:59 ET"
OXY,59.52,Call,65,2023-06-30,17,0.1,0.11,0.11,0.11,6135,617,9.94,27.28%,0.072256,"14:03 ET"
AU,23.86,Put,25,2023-07-21,38,1.55,1.6,1.65,1.6,3012,311,9.68,32.34%,-0.638834,"12:27 ET"
COF,113.56,Call,116,2023-06-16,3,0.5,0.55,0.6,0.55,2070,214,9.67,35.96%,0.252558,"13:57 ET"
CLF,16.59,Put,16.5,2023-06-16,3,0.29,0.3,0.3,0.3,3489,361,9.66,60.05%,-0.433805,"13:58 ET"
AI,43.73,Call,41.5,2023-06-16,3,2.7,2.78,2.85,3.6,1366,143,9.55,138.75%,0.615187,"13:55 ET"
CRM,209.66,Call,230,2023-06-23,10,0.41,0.42,0.43,0.43,8863,935,9.48,37.88%,0.074919,"13:58 ET"
LUV,32.4,Put,27.5,2023-12-15,185,0.99,1.02,1.04,0.99,2003,214,9.36,35.19%,-0.195463,"13:39 ET"
AMD,129.1,Put,129,2023-06-23,10,4.7,4.78,4.85,4.8,1868,200,9.34,52.40%,-0.508202,"14:04 ET"
OKTA,75.18,Call,78,2023-06-16,3,0.57,0.59,0.61,0.58,3983,428,9.31,57.77%,0.252541,"14:05 ET"
DIS,94.37,Put,93,2023-06-23,10,0.86,0.87,0.87,0.86,3018,329,9.17,22.96%,-0.35052,"14:02 ET"
GME,27.31,Call,27.5,2023-06-16,3,0.72,0.74,0.75,0.72,8447,924,9.14,105.54%,0.411186,"14:05 ET"
OPEN,2.94,Put,3,2023-06-16,3,0.23,0.24,0.25,0.22,1771,196,9.04,174.93%,-0.552703,"13:38 ET"
LAC,21.17,Call,25,2024-04-19,311,2.45,2.53,2.6,2.36,2029,225,9.02,45.33%,0.468275,"12:29 ET"
ATVI,80.96,Put,79,2023-06-23,10,0.29,0.35,0.41,0.35,1279,142,9.01,20.39%,-0.22012,"13:57 ET"
UPST,36.59,Call,45,2023-06-16,3,0.2,0.21,0.22,0.21,5814,648,8.97,169.03%,0.087436,"14:03 ET"
NCLH,19.44,Put,19,2023-06-16,3,0.26,0.27,0.27,0.25,1073,120,8.94,63.75%,-0.342903,"13:48 ET"
RCL,95.37,Call,95,2024-06-21,374,18.45,18.65,18.85,18.7,1595,181,8.81,42.55%,0.637538,"13:51 ET"
ORCL,117.68,Put,120,2023-09-15,94,6.9,6.98,7.05,7,1881,217,8.67,26.74%,-0.50835,"13:43 ET"
DIS,94.37,Put,93,2023-06-16,3,0.45,0.46,0.46,0.46,11129,1283,8.67,28.06%,-0.299135,"14:04 ET"
BE,17.73,Call,18,2023-07-21,38,1.2,1.25,1.3,1.25,2352,273,8.62,59.40%,0.512257,"13:12 ET"
TOST,23.5,Put,22.5,2023-06-16,3,0.1,0.15,0.2,0.2,3325,386,8.61,65.18%,-0.238703,"13:17 ET"
AI,43.73,Call,44,2023-06-16,3,1.65,1.7,1.75,1.7,6661,782,8.52,145.82%,0.437369,"14:04 ET"
AI,43.73,Call,46,2023-06-30,17,3.2,3.3,3.4,3.58,1250,147,8.5,124.33%,0.446503,"13:58 ET"
ATVI,80.96,Call,90,2023-07-07,24,0.35,0.38,0.41,0.37,5691,672,8.47,32.45%,0.116365,"13:36 ET"
RIVN,15.36,Put,15.5,2023-06-16,3,0.65,0.66,0.67,0.65,3927,464,8.46,102.65%,-0.523107,"14:02 ET"
AMZN,126.52,Call,80,2023-10-20,129,47.85,48.18,48.5,48.58,4349,517,8.41,42.94%,0.976849,"13:37 ET"
TDOC,25.43,Call,27,2023-06-16,3,0.15,0.16,0.16,0.15,2768,334,8.29,73.04%,0.172119,"14:04 ET"
SOFI,9.48,Call,12.5,2023-07-28,45,0.21,0.24,0.26,0.24,1996,241,8.28,77.78%,0.19112,"13:35 ET"
GS,342.67,Call,350,2023-10-20,129,16.6,16.75,16.9,17.25,2782,337,8.26,23.12%,0.487956,"13:22 ET"
WMT,155.14,Put,155,2023-06-23,10,1.14,1.15,1.17,1.19,899,109,8.25,13.07%,-0.452011,"13:51 ET"
IVR,11.17,Put,8,2024-01-19,220,0.45,0.51,0.57,0.48,1003,122,8.22,46.44%,-0.177113,"13:13 ET"
CRBG,17.19,Call,17.5,2023-10-20,129,1.1,1.2,1.3,1.13,1000,122,8.2,30.80%,0.499416,"11:10 ET"
ARCC,19.07,Call,15,2023-06-16,3,4,4.1,4.2,4,840,103,8.16,197.75%,0.923612,"13:38 ET"
AMZN,126.52,Put,130,2023-06-23,10,4.65,4.7,4.75,4.55,1430,176,8.13,30.62%,-0.698986,"13:50 ET"
OPK,1.53,Call,2,2023-12-15,185,0.15,0.2,0.25,0.15,5123,630,8.13,63.84%,0.386732,"13:16 ET"
ORCL,117.68,Put,120,2023-06-23,10,3.3,3.38,3.45,3.2,801,100,8.01,27.38%,-0.646841,"13:29 ET"
IRM,56.64,Call,50,2023-07-21,38,6.6,6.75,6.9,6.7,1714,216,7.94,28.77%,0.916835,"13:40 ET"
NVDA,408.26,Put,405,2023-06-23,10,9.95,10.02,10.1,10,2482,313,7.93,42.24%,-0.448305,"14:04 ET"
ULCC,9.91,Call,12.5,2023-10-20,129,0.35,0.4,0.45,0.35,2002,257,7.79,45.09%,0.251172,"13:20 ET"
AI,43.73,Call,38,2023-07-07,24,6.9,7.05,7.2,7.55,3435,441,7.79,102.40%,0.721803,"14:00 ET"
UNH,492.38,Put,485,2023-06-16,3,1.99,2.12,2.24,2.12,3345,431,7.76,28.02%,-0.272764,"14:01 ET"
OPEN,2.94,Call,3.5,2023-07-21,38,0.26,0.28,0.29,0.28,3916,507,7.72,127.78%,0.406411,"13:39 ET"
CHPT,9.75,Call,9.5,2023-06-23,10,0.57,0.58,0.59,0.57,12050,1563,7.71,72.07%,0.596728,"14:02 ET"
TSLA,259.44,Put,255,2023-06-30,17,10.35,10.4,10.45,10.34,2759,361,7.64,55.39%,-0.427354,"14:04 ET"
AI,43.73,Call,40.5,2023-06-16,3,3.2,3.35,3.5,3.35,1539,203,7.58,136.67%,0.688752,"14:04 ET"
MSFT,333.98,Put,345,2023-06-16,3,11.15,11.35,11.55,11.1,818,108,7.57,25.01%,-0.928011,"14:01 ET"
ORCL,117.68,Put,120,2023-06-16,3,2.88,2.97,3.05,2.95,4172,552,7.56,37.67%,-0.70076,"14:03 ET"
NFLX,435.87,Call,435,2023-06-23,10,10.65,10.75,10.85,10.7,2704,358,7.55,37.32%,0.512263,"14:04 ET"
LSCC,91.54,Call,95,2023-07-21,38,3.7,3.8,3.9,3.9,1981,264,7.5,44.22%,0.436905,"13:55 ET"
NVDA,408.26,Call,500,2023-07-07,24,1.62,1.65,1.68,1.72,9189,1225,7.5,51.63%,0.072347,"14:01 ET"
TDOC,25.43,Call,26,2023-06-16,3,0.32,0.34,0.36,0.37,4434,593,7.48,67.61%,0.340507,"14:02 ET"
WMT,155.14,Put,157.5,2023-06-16,3,2.3,2.34,2.39,2.36,924,127,7.28,14.37%,-0.865887,"13:58 ET"
X,23.6,Put,23,2023-08-18,66,1.37,1.39,1.4,1.37,1046,144,7.26,43.91%,-0.394836,"13:35 ET"
NVDA,408.26,Put,397.5,2023-06-23,10,6.7,6.75,6.8,6.65,1327,184,7.21,41.92%,-0.344303,"14:01 ET"
GME,27.31,Put,27,2023-06-16,3,1.07,1.11,1.15,1.1,2700,378,7.14,102.08%,-0.515128,"14:04 ET"
ARCC,19.07,Call,17,2023-06-16,3,2,2.2,2.4,2.15,1406,198,7.1,98.80%,0.908676,"13:38 ET"
TSLA,259.44,Call,200,2023-11-17,157,73.45,73.63,73.8,73.7,10085,1442,6.99,56.66%,0.825471,"14:04 ET"
GME,27.31,Call,30,2023-06-23,10,0.74,0.77,0.8,0.75,11224,1610,6.97,103.70%,0.285246,"14:05 ET"
ACN,314.12,Call,330,2023-07-21,38,4.2,4.35,4.5,4.55,860,125,6.88,23.85%,0.295942,"12:54 ET"
F,14.14,Call,14.5,2023-06-23,10,0.16,0.17,0.17,0.17,24047,3527,6.82,33.38%,0.337615,"14:05 ET"
GME,27.31,Call,28.5,2023-06-16,3,0.48,0.52,0.57,0.52,1975,290,6.81,118.41%,0.300892,"14:04 ET"
TSLA,259.44,Call,307.5,2023-06-23,10,0.99,1,1.01,1.09,899,134,6.71,70.47%,0.077132,"13:51 ET"
BYND,14.36,Call,17,2023-06-16,3,0.41,0.44,0.47,0.44,1543,231,6.68,255.52%,0.25094,"14:00 ET"
NFLX,435.87,Call,500,2023-07-14,31,2.67,2.74,2.8,2.85,687,103,6.67,38.08%,0.120633,"13:50 ET"
AI,43.73,Call,58,2023-06-16,3,0.1,0.15,0.2,0.13,852,128,6.66,190.04%,0.045621,"14:04 ET"
GOOG,124.54,Call,129,2023-07-14,31,1.8,1.82,1.83,1.96,669,101,6.62,23.54%,0.333983,"12:40 ET"
MARA,9.58,Call,8,2023-06-23,10,1.6,1.62,1.64,1.61,864,131,6.6,71.66%,0.94315,"14:02 ET"
U,38.54,Call,39,2023-06-23,10,1.38,1.4,1.41,1.4,1934,294,6.58,68.47%,0.455559,"14:04 ET"
ACHR,4.47,Call,5,2023-06-16,3,0.1,0.13,0.15,0.14,778,119,6.54,187.86%,0.309034,"14:04 ET"
AMD,129.1,Call,134,2023-06-30,17,3.4,3.47,3.55,3.81,1692,259,6.53,51.74%,0.373457,"13:58 ET"
SNAP,10.32,Call,12,2023-07-28,45,0.5,0.52,0.54,0.53,880,135,6.52,76.36%,0.334656,"13:31 ET"
AI,43.73,Put,39,2023-06-16,3,0.7,0.77,0.85,0.78,1583,244,6.49,145.41%,-0.224712,"14:04 ET"
GENI,6.24,Call,7.5,2023-10-20,129,0.7,0.75,0.8,0.75,3578,551,6.49,76.47%,0.448844,"14:04 ET"
NVDA,408.26,Call,455,2023-06-23,10,1.65,1.67,1.69,1.66,3778,585,6.46,50.97%,0.104639,"14:03 ET"
AMD,129.1,Call,157.5,2023-06-23,10,0.25,0.26,0.27,0.26,671,104,6.45,70.28%,0.044333,"14:04 ET"
CHGG,10.64,Put,9,2023-08-18,66,0.55,0.6,0.65,0.56,780,121,6.45,74.02%,-0.241607,"12:54 ET"
CSIQ,36.66,Put,35,2023-06-16,3,0.2,0.25,0.3,0.23,1085,169,6.42,59.32%,-0.203421,"14:03 ET"
ORCL,117.68,Call,122,2023-06-23,10,0.8,0.85,0.89,0.83,837,131,6.39,29.44%,0.248715,"14:02 ET"
RIVN,15.36,Call,17,2023-07-07,24,0.68,0.7,0.72,0.67,873,137,6.37,82.05%,0.357262,"13:59 ET"
INTC,33.69,Call,35,2023-07-07,24,0.78,0.79,0.8,0.8,3309,521,6.35,38.70%,0.36776,"13:56 ET"
U,38.54,Call,43,2023-06-16,3,0.23,0.24,0.25,0.25,887,140,6.34,111.90%,0.133618,"14:03 ET"
ORCL,117.68,Put,116,2023-06-30,17,1.66,1.72,1.78,1.69,1168,186,6.28,25.36%,-0.370194,"14:04 ET"
PLTR,15.99,Call,24,2023-08-18,66,0.46,0.47,0.48,0.5,1509,242,6.24,85.53%,0.176571,"13:32 ET"
KEY,10.43,Put,9,2023-09-15,94,0.6,0.63,0.65,0.62,4004,642,6.24,61.01%,-0.265465,"12:28 ET"
AMD,129.1,Put,128,2023-06-16,3,2.98,3.01,3.05,3,14859,2384,6.23,66.90%,-0.477963,"14:04 ET"
AAP,69.16,Call,68,2023-06-16,3,1.8,1.9,2,1.8,3427,553,6.2,45.70%,0.665029,"13:40 ET"
U,38.54,Call,41,2023-06-16,3,0.41,0.43,0.44,0.47,3063,497,6.16,97.43%,0.2269,"14:02 ET"
TSLA,259.44,Call,253.33,2023-06-16,3,8.95,9,9.05,8.95,18525,3006,6.16,65.72%,0.641685,"14:05 ET"
GOOGL,123.89,Call,140,2023-07-21,38,0.34,0.35,0.35,0.34,50934,8272,6.16,25.05%,0.077788,"14:05 ET"
V,224.33,Put,225,2023-06-23,10,3.05,3.13,3.2,2.6,2134,348,6.13,17.50%,-0.55869,"13:31 ET"
XPEV,10.22,Put,10,2023-06-30,17,0.55,0.57,0.58,0.56,802,131,6.12,78.52%,-0.406726,"14:00 ET"
LIN,371.77,Call,390,2023-07-21,38,1.55,1.78,2,1.9,665,109,6.1,14.93%,0.195301,"13:35 ET"
AMD,129.1,Call,133,2023-06-30,17,3.7,3.78,3.85,3.8,745,123,6.06,51.57%,0.398646,"14:02 ET"
AI,43.73,Call,48,2023-06-16,3,0.75,0.78,0.8,0.75,2866,473,6.06,157.21%,0.227576,"14:04 ET"
TGT,128.9,Call,130,2023-06-23,10,2.03,2.05,2.08,2.07,4733,784,6.04,29.24%,0.451553,"14:04 ET"
ROKU,73.6,Put,63,2023-06-30,17,0.6,0.62,0.63,0.59,717,119,6.03,64.01%,-0.116776,"13:51 ET"
ORCL,117.68,Put,116,2023-06-16,3,0.77,0.8,0.84,0.78,6684,1113,6.01,35.82%,-0.311652,"14:01 ET"
URBN,33.64,Call,34,2023-06-16,3,0.3,0.35,0.4,0.44,678,113,6,41.90%,0.395159,"13:08 ET"
MCRB,6.15,Call,7.5,2023-10-20,129,0.7,0.73,0.75,0.74,10208,1700,6,79.60%,0.441216,"14:04 ET"
MTCH,42.67,Put,37,2023-06-30,17,0.12,0.16,0.19,0.16,629,105,5.99,48.60%,-0.076302,"12:03 ET"
TSLA,259.44,Put,250,2023-06-16,3,2.68,2.69,2.7,2.68,60494,10112,5.98,64.87%,-0.277249,"14:05 ET"
PANW,233.61,Call,240,2023-06-16,3,0.86,0.91,0.96,0.98,3502,587,5.97,39.45%,0.199404,"14:02 ET"
GPN,100.7,Put,105,2023-06-16,3,4.3,4.6,4.9,4.2,966,163,5.93,38.58%,-0.88884,"11:26 ET"
AGNC,10.13,Put,10,2023-06-30,17,0.16,0.19,0.21,0.2,636,108,5.89,28.55%,-0.421473,"11:44 ET"
PTON,9.6,Call,10,2023-06-23,10,0.41,0.43,0.44,0.46,5852,999,5.86,95.03%,0.422579,"14:00 ET"
AMD,129.1,Put,128,2023-06-23,10,4.15,4.2,4.25,4.05,3348,573,5.84,51.50%,-0.472429,"14:01 ET"
HSY,256.24,Put,240,2023-07-21,38,0.7,0.8,0.9,0.83,1340,230,5.83,18.28%,-0.110785,"14:04 ET"
IMPP,4.39,Call,4.5,2023-07-21,38,0.43,0.54,0.64,0.47,874,151,5.79,89.98%,0.531379,"10:20 ET"
TSLA,259.44,Call,260,2023-06-16,3,5.5,5.55,5.6,5.54,130663,22574,5.79,67.28%,0.472015,"14:05 ET"
KBH,50.87,Call,50,2023-07-21,38,3.1,3.15,3.2,3.14,2111,365,5.78,39.58%,0.591492,"14:04 ET"
DOW,53.23,Call,55,2023-06-23,10,0.19,0.21,0.22,0.22,665,116,5.73,22.51%,0.201525,"13:04 ET"
BNTX,115.33,Call,145,2023-07-21,38,0.4,0.68,0.95,1,1700,299,5.69,47.54%,0.087564,"13:36 ET"
TSLA,259.44,Call,255,2023-06-16,3,7.95,8,8.05,8.02,92347,16269,5.68,66.47%,0.598892,"14:05 ET"
TSLA,259.44,Put,260,2023-06-23,10,10.25,10.3,10.35,10.35,2420,427,5.67,56.40%,-0.504866,"14:04 ET"
NIO,8.85,Put,9.5,2023-06-16,3,0.72,0.73,0.74,0.74,843,150,5.62,104.35%,-0.747253,"13:54 ET"
MPW,9.32,Call,9,2023-07-14,31,0.55,0.57,0.59,0.56,1276,228,5.6,39.04%,0.623668,"13:58 ET"
SRPT,131.12,Call,140,2023-07-21,38,6,6.6,7.2,6.9,556,100,5.56,60.89%,0.413854,"13:23 ET"
PLCE,19.47,Call,35,2023-09-15,94,0.35,0.43,0.5,0.43,618,112,5.52,82.89%,0.125136,"13:21 ET"
TSLA,259.44,Call,255,2023-06-23,10,11.35,11.4,11.45,11.3,12983,2361,5.5,55.88%,0.579401,"14:04 ET"
NEU,406.99,Call,375,2023-06-16,3,30.8,32.35,33.9,31.5,840,153,5.49,82.63%,0.869788,"13:40 ET"
CCL,15.26,Call,15.5,2023-06-30,17,0.97,0.98,0.99,0.98,2574,470,5.48,81.95%,0.50431,"13:53 ET"
RBLX,39.81,Call,45,2023-07-14,31,0.69,0.71,0.72,0.73,1197,219,5.47,50.47%,0.224564,"13:50 ET"
BA,220.87,Call,300,2023-11-17,157,1.44,1.48,1.51,1.49,1263,231,5.47,29.09%,0.083295,"13:44 ET"
LI,31.28,Put,31.5,2023-06-16,3,0.72,0.74,0.76,0.76,1059,194,5.46,57.31%,-0.540891,"12:14 ET"
TRUP,27.01,Put,30,2023-06-16,3,3.5,3.8,4.1,3.67,3378,619,5.46,150.01%,-0.780502,"12:03 ET"
AI,43.73,Call,43,2023-06-16,3,2,2.05,2.1,2.04,5765,1056,5.46,140.67%,0.504842,"14:04 ET"
DVN,50.84,Call,52.5,2023-11-17,157,3.9,3.95,4,3.95,624,115,5.43,38.79%,0.462867,"12:40 ET"
TSM,108.04,Put,102,2023-06-23,10,0.55,0.56,0.57,0.63,747,139,5.37,36.22%,-0.160012,"13:09 ET"
HOOD,9.67,Call,10,2023-06-23,10,0.18,0.19,0.19,0.2,4722,883,5.35,50.82%,0.353423,"14:04 ET"
TSLA,259.44,Call,277.5,2023-06-23,10,3.75,3.8,3.85,4.05,855,160,5.34,60.41%,0.256828,"14:00 ET"
